,Title,Platform,Userscore,Comment,Username
379,NBA Street V3,PlayStation2,10, Nba Street V3 is the best game ever.,JoseuJ.
380,Demon's Souls,PlayStation3,10," I have to admit. This game didn't click for me at first. I rented it and beat the first area and couldn't make a dent past the lizard people in world 2-1. I didn't think about it for a month, and I had to urge to buy it. So, like an idiot, I bought it. Played the same level and wondered why I bought it. Then it clicked. I blasted through the part that I couldn't get I have to admit. This game didn't click for me at first. I rented it and beat the first area and couldn't make a dent past the lizard people in world 2-1. I didn't think about it for a month, and I had to urge to buy it. So, like an idiot, I bought it. Played the same level and wondered why I bought it. Then it clicked. I blasted through the part that I couldn't get through and was hooked since then. Yes, this game is hard! Yes, you will die, a lot. But, when you do make it and kill the boss it gives you such satisfaction that no other game can give you. Do yourself a favor. Rent the game at-least. Just keep 60 bucks aside because you will buy the game after you play it. It's that addicting.",BobG
381,Pillars of Eternity,PC,10,"Marks the return of the greatest RPGs ever made. The tactical combat of Baldur's Gate, the rich story and companions of Planescape: Torment and the gorgeous environments of Icewind Dale, all melded into. It is all that was promised and more. Welcome back Greatness.",Hadriel
382,The Elder Scrolls III: Morrowind,PC,10," This game is absolutely the best RPG I ever played. I played the console version 2 times through with different characters and the PC version once through. And STILL have NOT done every quest there is to do. It is a huge open world and the expansions add to it. There is countless replayability, and endless customization for making characters. And even still has a nice graphics engine for This game is absolutely the best RPG I ever played. I played the console version 2 times through with different characters and the PC version once through. And STILL have NOT done every quest there is to do. It is a huge open world and the expansions add to it. There is countless replayability, and endless customization for making characters. And even still has a nice graphics engine for it's time. It has a long and in depth story and really indulges you into the game world. I believe this is a must buy for any RPG fan and will not disappoint. Easily a 10 out of 10.",JohnY
383,Fable II,Xbox360,9,"Charming game with a cool interactions on the world and on the society of the game. Its cool the options of that every actions affect your aspect giving you personality,thats cool but it needs more depth ,also annoying some AI don't act well and some weird glitches. The graphics are colorful , the gameplay is easy and simple.",Watermelon789
384,Rez Infinite,PlayStation4,9,This is a very good rhythm based shooter with incredible graphics and art design. The world feels amazing in VR and goes to show the power of the new technology.,brockcheese
385,Rocksmith 2014 Edition,PC,9,"Rocksmith 2014 is better than the original in almost every way. Most obvious is the improved song list, with more mainstream rock hits over the general indie flavor of the original (although I still ended up liking much of the original's song list). The reworked gameplay looked kind of suspect at first but is vastly superior, adding support for palm muted chords, oblique bends, and evenRocksmith 2014 is better than the original in almost every way. Most obvious is the improved song list, with more mainstream rock hits over the general indie flavor of the original (although I still ended up liking much of the original's song list). The reworked gameplay looked kind of suspect at first but is vastly superior, adding support for palm muted chords, oblique bends, and even pinch harmonics (which I still can't figure out how to play). And the menu. The original's menu was absolutely horrible. Now it looks like an actual menu! If I had to knock the game any, I'd say that the missions become obviously random very quickly, like asking me to play a new song when I've already played every song I have. The note detection, while improved, still is slightly flawed, most noticeably so in drop D power chords, and while ""true tuning"" is great, it's kind of a pain to have to retune my guitar so often. Overall though, Rocksmith 2014 is about as good as possible, and while not perfect, it's still pretty darn great.",gameboy673
386,NHL 2K3,PlayStation2,10,"By far the best damn hockey game period. It blow's all others out the bong water,even that want to be nhl 2k3, nhl 2003 by ea sports. 2003 is a above average game, but that d-chase nuts guy is sucking off mr. madden. who would want a game where you score 10 goals a game on the hardest settings,and the sped players don't know how to pick up a rebound, i think the makers of this eaBy far the best damn hockey game period. It blow's all others out the bong water,even that want to be nhl 2k3, nhl 2003 by ea sports. 2003 is a above average game, but that d-chase nuts guy is sucking off mr. madden. who would want a game where you score 10 goals a game on the hardest settings,and the sped players don't know how to pick up a rebound, i think the makers of this ea sport's nhl2003 rode the really short bus if you know what i mean d- nut chaser.The people who won't like 2k3 are not real hockey fans and either watch hockey for the fight's or sit next to the ea sport  flamers on the bus. Your vagina's all sandy  about some sound problem,but ea sports forgot to master the gameplay before moving on to the sweet soundtrack and extra's  they do set up.So stick to 2k3 because i wouldn't have gave it a ten if it wasn't the best hockey game ever put together.The big boy's are 2k3ing it up, while the tot's are stroking of to nhl2003. 2k3 smokes the rest like a tightly rolled up dooby of dizity danks. Oh yeah big ed i think the ed  stands for (easily deceived)because simple minds are ed.    stl .blues don't forget it ,peace    ",mr.420bliz-blunt
387,Final Fantasy Chronicles,PlayStation,10,"Chrono Trigger and FFIV together is (was) an absolute must have when they released. The Chronicles opened them both up to a larger audience of newer RPG fans.They are both absolutely must plays. I played CT on the SNES so I knew going it what it was. I had not played FFIV until this, so I was happy I was finally able to.FFIV pulled no punches and casuals easily could get beat intoChrono Trigger and FFIV together is (was) an absolute must have when they released. The Chronicles opened them both up to a larger audience of newer RPG fans.They are both absolutely must plays. I played CT on the SNES so I knew going it what it was. I had not played FFIV until this, so I was happy I was finally able to.FFIV pulled no punches and casuals easily could get beat into submission. That said if you're an RPG veteran you will learn and adapt. Chrono Trigger is just a great, basic, nuts & bolts RPG. Everything is superb.While both of these are not at the top of my list anymore they were at the time and still demand the respect as what RPGs should be. Both are must plays.",Tallulah
388,Fallout,PC,10,"User Score, Y U are so low? Fallout is greatest CRPG ever. You can play it for 500 hours and still discover new things (like i did). Amazing storyline, amazing characters, amazing gameplay!",Schwartz
389,The Beatles: Rock Band,Wii,7, Graphics are pretty important in this game because of the dreamscape. The WII version suffers in this department compared to ps3/360.,JohnC.
390,Left 4 Dead 2,Xbox360,9," My 3 zombie killing friends and I agree. Left 4 dead 2 is bigger and better than the original. More zombies, more challenge, more laughs, and best of all more guns. If you liked L4D1, you need to get this game.",AdamC
391,World Soccer Winning Eleven 9,PC,7," I am in sort of an agreement with some of the reviews, but one thing I can say about this game despite what u may think. This game emulates real football (soccer to the northwestern world) far better than FIFA has. In fact this game would be a perfect gem if it wasn't for the few bugs and the terrible refereeing! If you can get past that it truly is the closest we have to real gaming I am in sort of an agreement with some of the reviews, but one thing I can say about this game despite what u may think. This game emulates real football (soccer to the northwestern world) far better than FIFA has. In fact this game would be a perfect gem if it wasn't for the few bugs and the terrible refereeing! If you can get past that it truly is the closest we have to real gaming football!",Fink
392,Worldwide Soccer Manager 2005,PC,1,A boring game but expensive.,Dejimmy
393,Axiom Verge,WiiU,9,"It's ironic that Axiom Verge was released on Wii U on the same day Metroid Prime: Federation Force hit the 3DS. That's because, while Nintendo's own portable title largely failed to entice those clamoring for more Metroid, Thomas Happ's indie homage to Samus Aran's adventures is nothing short of a masterpiece.The game begins with a quick story introduction: you're a scientist who wentIt's ironic that Axiom Verge was released on Wii U on the same day Metroid Prime: Federation Force hit the 3DS. That's because, while Nintendo's own portable title largely failed to entice those clamoring for more Metroid, Thomas Happ's indie homage to Samus Aran's adventures is nothing short of a masterpiece.The game begins with a quick story introduction: you're a scientist who went through a mysterious lab explosion and, instead of dying, woke up on a very strange world. You start pretty much helpless, but soon, with the help of a mysterious voice in your head, manage to get a weapon to start things up.The basic gameplay is all classic 2D Metroid: you'll explore the many interconnected sections of the world, all the while looking for power ups to attack and energy, as well as new weapons and abilities that open up previously closed paths.What makes Axiom Verge something truly special, aside from its sheer mastery of the metroidvania formula, is how it differentiates itself with some honest-to-goodness innovative gameplay elements. Almost all of the new abilities you come across refuse to follow the tried-and-true foundations of the genre; instead, they're exciting new solutions to the same gameplay challenges, making the whole thing few extremely fresh.The best idea on display is the Axiom Disruptor, a weapon which allows you to ""bug"" (or ""debug"") certain enemies and structures. Whenever an enemy gets hit with a strong enough blast of the weapon, they will get all glitchy, reminiscent of actual 8-bit glitches from back in the day, and this will change their properties and behavior. This is used in incredibly clever ways, allowing you to solve puzzles, open secret pathways and find collectibles all over the game world.To make everything even more enjoyable, the story manages to be a real highlight (and given how I'm generally quite unimpressed with video game stories, that's really saying something). This is a tale of strange phenomena in a very peculiar reality, and how a scientific mind might react and adapt to them. There are some genuinely touching moments here, with a healthy dose of goosebump-inducing macabre details.If there's something that might elicit complaints about Axiom Verge it's how the game requires absolute dedication if you want to see everything. Some of the more obtuse secrets can be kind of a pain to track down, especially given how the game lacks a quick-travel device. This is kind of a bummer to completionists such as myself, especially since it's impossible to actually get every last weapon in a single playthrough.Lastly, there's one big plus to the Wii U version, and that's the gamepad. Being able to check the map and change weapons without pausing is a godsend, as it allows the game's excellent sense of immersion to remain intact at all times.TL;DR:Axiom Verge is pretty much everything I could ever hope for in a new Metroid game, with the added perk that it manages to absolutely be its own thing. Come to think of it, as a big fan of innovation in games, that makes it even more memorable than a brand new Super Metroid could probably be to me. It's one of the best games of recent memory, and definitely one of the crowning jewels of this generation.9.5/10",ricklongo
394,Left 4 Dead,Xbox360,3," Are you people serious? It is a fun game, don't get me wrong. Online, offline, it's still fun... For about 15 minutes. Then it just gets tedious and repetitive and stops being fun. It quickly becomes going through the motions and it isn't exactly that rewarding. There's no real point to the missions besides escape. There's nothing that makes it like the titles Are you people serious? It is a fun game, don't get me wrong. Online, offline, it's still fun... For about 15 minutes. Then it just gets tedious and repetitive and stops being fun. It quickly becomes going through the motions and it isn't exactly that rewarding. There's no real point to the missions besides escape. There's nothing that makes it like the titles that are big today. No actual variety in weapons (GoW2) no moral dilemmas (Fallout 3) no deep storyline (bioshock) this game is only 1 thing. shoot shoot shoot shoot shoot, reload, shoot shoot shoot, get evacuated. Boring... oh, and do the characters need to say ""reloading!"" every 10 seconds? it really is annoying. Tell me I'm not the only one bothered by that.",JoelT
395,Titanfall 2,PlayStation4,9,Titanfall 2 has really surprised me. I was not expecting this game to be soooo fun and enjoyable. I have dabbled with some of the Call of Duty games in the past but that franchise is just becoming very stale especially with the yearly releases. The mechanics and concepts of this game have drawn me in and i am really having a blast. I am so glad that Respawn released this for all consoles.Titanfall 2 has really surprised me. I was not expecting this game to be soooo fun and enjoyable. I have dabbled with some of the Call of Duty games in the past but that franchise is just becoming very stale especially with the yearly releases. The mechanics and concepts of this game have drawn me in and i am really having a blast. I am so glad that Respawn released this for all consoles. I just hope that Respawn has plenty of content to release down the road for this game.,Xabretooth
396,F1 2017,PC,9,"A few balancing issues that need to be resolved such as Raikkonen being so OP even when compared to Vettel and the Mercedes' and the fact that on seemingly any difficulty the AI is much faster in qualifying than in the race.Other than that they've added depth to the career mode with a more robust and complex upgrade system and the addition of classic car invitational races during theA few balancing issues that need to be resolved such as Raikkonen being so OP even when compared to Vettel and the Mercedes' and the fact that on seemingly any difficulty the AI is much faster in qualifying than in the race.Other than that they've added depth to the career mode with a more robust and complex upgrade system and the addition of classic car invitational races during the season to change things up.The cars are more enjoyable to drive, probably due to the actual changes to the cars in F1 this year and the graphical upgrades are nice whilst the game remains one of the best optimised cross platform games out there on PC.TL;DR: An upgrade in every way on last year but in need of some balancing and AI patching to be truly great.",axbu89
397,3D Gunstar Heroes,3DS,8,"It's Gunstar Heroes, emulated and enhanced by M2, and in 3D. It's as good as that game's going to get, hand cramps on the 3DS aside! The sound is great (and there are the two different sound versions to choose from!), the quirky artwork and bosses are still there, and I think it still holds up well today. It's not a 2015 ""10,"" but it's certainly a seminal retro game.",bearcav
398,Jade Empire,Xbox,10,"This game is FANTASTIC!!! one of the best games I've ever played, this had fantastic graphics for the time, and the sound is still top notch, the story is fantastic and you really think before making a decision because your choices alter the world around you, and the side quests are AMAZING!!! they are all unique and are just so much fun to play through, and it has some cool things to findThis game is FANTASTIC!!! one of the best games I've ever played, this had fantastic graphics for the time, and the sound is still top notch, the story is fantastic and you really think before making a decision because your choices alter the world around you, and the side quests are AMAZING!!! they are all unique and are just so much fun to play through, and it has some cool things to find out like new fighting techniques, but keep in mind while playing this is really easy (think Fable II & III easy) so you may want to crank up the difficulty, out of all the Bioware RPGs I've played this is so far there best, a must own and it truly earns a perfect 10.",TheQuietGamer
399,NBA 2K3,PlayStation2,9," This game is great. I hated how hard it was to play on pro on 2k2, but the AI sliders make that a non issue in 2k3. The graphics are great, all the court names are here except for Boston and New Orleans, and the passing isnt so hard this time. Just turn the maximum passing on and put the cpu steals rating down. I play 10 min qtrs and score about 98 pts and shoot at .520.",ChrisM.
400,NASCAR Racing 2002 Season,PC,0, I have an emachines 800MHz with 128MB SyncDram and a Radeon 7500 64MB Video card. Computer locks up each time I try to start the game. Sierra tech dept. not much help.,BradH.
401,Phantasy Star Online,Dreamcast,9,"This game is truly  mind blowing. I mean this game came out in 2001, graphics are good, first online console MMO, story amazing, atmosphere. I remember playing with my friend it was an adventure. It's repayable. The only bad thing is probably its sound quality. Maybe thats just for me.",DarkDiamond
402,Resident Evil 2,Nintendo64,8, One of the best gore fests for the N64.,JoeyG.
403,Tekken 2,PlayStation,8, The best BEU of its time and still enjoyable but has some basic flaws in its gameplay and AI (you can beat the computer just by using the low kick over and over). Very good but dated.,MarkD.
404,Need for Speed: Hot Pursuit,PlayStation3,10,I have to agree this game is excellent.  I dropped Black ops and started playing this and haven't stopped the speed of this game is great zooming down the road at 253 miles an hour in a Bugatti V is simply awesome and mind blowing.  Don't pay any attention to the haters and go out and try this one you will not be disappointed.  Not to mention that the online has the best of any of theI have to agree this game is excellent.  I dropped Black ops and started playing this and haven't stopped the speed of this game is great zooming down the road at 253 miles an hour in a Bugatti V is simply awesome and mind blowing.  Don't pay any attention to the haters and go out and try this one you will not be disappointed.  Not to mention that the online has the best of any of the racing games i've played the Net code is brilliant no lag racing awesome.,Robbob
405,F-Zero GX,GameCube,10," Gamer fo life, F-Zero was first appeared in SNES, not Sega Genesis. Keep your facts straight, and F-Zero will never be in N-Gage either. This game is addicting and insanely difficult. The character models and tracks are great, and it's plain fun. You go 1000-2000 mph. This game is not for wusses like Ben T. who can't beat the first level at story mode. You have to be patient Gamer fo life, F-Zero was first appeared in SNES, not Sega Genesis. Keep your facts straight, and F-Zero will never be in N-Gage either. This game is addicting and insanely difficult. The character models and tracks are great, and it's plain fun. You go 1000-2000 mph. This game is not for wusses like Ben T. who can't beat the first level at story mode. You have to be patient with this game, because game is EXTREMELY hard.",DanP.
406,Dark Souls,Xbox360,10,"Back in 2009, I spent 120+ hours of my life on Demon's Souls, and since then, I have not found its equal.  As dark, challenging, and repressive as the game was, Demon's Souls still managed to feel like a breath of fresh air in the staling game market, throwing back to classic mechanics that were left in the 80s and early 90s with 8-bit, 16-bit, and arcade games.  I find it interesting thatBack in 2009, I spent 120+ hours of my life on Demon's Souls, and since then, I have not found its equal.  As dark, challenging, and repressive as the game was, Demon's Souls still managed to feel like a breath of fresh air in the staling game market, throwing back to classic mechanics that were left in the 80s and early 90s with 8-bit, 16-bit, and arcade games.  I find it interesting that Demon's Souls was far better received in North America than in its native Japan (790,000 copies in NA to Japan's 300,000, many of which were sold after the game's subsequest success overseas), as the game reflects more western RPG conventions and D&D-esque styling than the increasingly common anime-styled games that get labeled as ""JRPGs.""  Dark Souls is a spiritual successor in the purest sense of the over-used phrase.  Its controls are identical to Demon's Souls, yet they are even more precise than before.  The artistic style, starting classes, soundtrack, and multiplayer options are all quite similar as well, but again, they have been tweaked to be a bit superior to that of Demon's Souls.  The graphics are more detailed and crisp than ever.  But the biggest change here is the open-world structure.  Unlike Demon's Souls, which had the Nexus serve as a hub between several more fragmented worlds, Dark Souls has interconnected areas that form one gigantic, seemless world.  It's also at least three times the size of all of Demon's Souls' areas combined, and the zones are still diverse and well-conceived.  The linking of various zones works kind of like classic Metroid or Castlevania maps, where shortcuts to previous areas can be unlocked, making exploration valuable and rewarding to the overall mission.  Instead of the Nexus hub zone, players can rest at bonfires, where they can also upgrade weapons and armor, among other things.  Combat is also enjoyable and very deep, and enemy mobs are more varied than in Demon's Souls.  In short, Dark Souls improves on every aspect of its predecessor, and with the new open-world structure, Dark Souls can easily stand up to the industry's western-developed heavy hitters (like Dragon Age and Elder Scrolls).  In fact, I can honestly say that Dark Souls could steal some serious thunder from Skyrim by offering a more fresh yet hardcore approach to the genre.  I also think that it's astounding that developer From Software could make lightning strike twice - it would have been far too easy for some developers to misinterpret Demon's Souls overwhelming success in North America and try too hard to tweak the subsequent formula to cater to American tastes.  Instead, From Software stayed true to its original form, even deciding to increase the challenge for Dark Souls.  And as one final point, let me also say this:  Anyone who has not tried Demon's Souls or Dark Souls should not let the now-legendary difficulty of the series discourage them.  The challenge that these games offers is not the same kind of hard-for-the-sake-of-hard frustration that some games fall victim to.  Even if you are normally frustrated by difficult games, it's usually because of cheap mechanics and the feeling of having to fight the controls or poor design, and none of that is an issue with the Souls games.  They just demand a little more observation, a bit of strategy and thought.  From Software trusts that its gamers are intelligent, diligent, and skilled enough to handle that challenge, and that's what makes every victory in Dark Souls feel like a real achievement.  The game may not be for everyone, but I would at least encourage every PS3 or XBox360 owner to try it.",JPoppaWUSC
407,Need for Speed: Hot Pursuit 2,PlayStation2,10, The Best!,SamB.
408,Grand Theft Auto IV: The Ballad of Gay Tony,Xbox360,10," The fact that this DLC is barely holding down a Universal Acclaim rating is somewhat of a mystery to me. The game costs $20. You get SO MUCH game out of that investment. The story is awesome, there's a ton of new stuff to do (including basejumping!!), and I haven't been able to put down the controller. That's an unquestionable 10 in my book.",BrianB
409,The Legend of Zelda: The Minish Cap,GameBoyAdvance,10,"One thing I love about the Zelda series that never ceases to impress me, is the fact that each game introduces an entirely new world, even if the world is one we should be familiar with. Despite being shorter than most Zelda games, I loved the style and lore introduced in this one, as I do with it in most other Zelda games. Sure it was lighter in one sense, but the villain is great and theOne thing I love about the Zelda series that never ceases to impress me, is the fact that each game introduces an entirely new world, even if the world is one we should be familiar with. Despite being shorter than most Zelda games, I loved the style and lore introduced in this one, as I do with it in most other Zelda games. Sure it was lighter in one sense, but the villain is great and the level design is probably the best I've seen out of all the 2D Zelda games. The story kind of reminds me of a Miyazaki movie and the amount you can do around the world, like in any Zelda game, is vast - and in order to unlock everything due to a certain timescale centered around the completion of dungeons, there's a pretty good replay value to it. Also, at first I was iffy with the fact that your hat talks and acts as your ""fairy"" character, but in the long run it was very enjoyable factor and also the ability to change size from normal to small and back again was awesome. It's a really good game!",doodlerman
410,NCAA Football 2005,Xbox,10," Awesome Game! M GO BLUE (for Michigan fans like myself) and i agree that Kentucky is underated. That aside, a great game, definitely worth your time...",SteveM.
411,Combat Mission: Barbarossa to Berlin,PC,9, Needs a brush-up on the graphics.,ThomasR.
412,Homeworld: Cataclysm,PC,9,"Actually a very enjoyable sub-sequel (it was originally meant to be an addon, but ended up being released as a stand-alone game) to the original, with huge amounts of atmosphere and many of the little annoyances of the original ironed out (combat commands from map screen implimented, auto-harvesting resources at end of missions instead of waiting for hours, etc). Very worth aquiring thisActually a very enjoyable sub-sequel (it was originally meant to be an addon, but ended up being released as a stand-alone game) to the original, with huge amounts of atmosphere and many of the little annoyances of the original ironed out (combat commands from map screen implimented, auto-harvesting resources at end of missions instead of waiting for hours, etc). Very worth aquiring this one for any RTS collection.",Ade_the_Rare
413,Cave Story,Wii,10," I don't usually give out lenient scores like this but I enjoyed Cave Story so much that I almost feel obligated to give it a 10. First off, the graphics are what drew me in. yes, they are in the old NES style, however the way they used the colors and designs really are interesting. Second, the musical score is absolutely fantastic. I've found myself humming the tunes to myself I don't usually give out lenient scores like this but I enjoyed Cave Story so much that I almost feel obligated to give it a 10. First off, the graphics are what drew me in. yes, they are in the old NES style, however the way they used the colors and designs really are interesting. Second, the musical score is absolutely fantastic. I've found myself humming the tunes to myself many times. Another positive is that unlike in most games today the difficulty is up there. If you make it through the normal ending (There are 3 BTW, bad, normal, secret) you might say to yourself ""hmm... that wasn't THAT bad"", I said the same thing. Afterward though, I found out that there was an even better ending. lemme tell ya, not easy. First you have to go through the game making certain requirements that make things a bit harder. It's the final secret level that takes the cake though. Several enemies and obstacles, and a few boss fights with NO HEALING BLOCKS OR SAVES. yeah... I died a lot XD. Through all this I thought that I would get really frustrated, and I did, to an extent. It could just be me, or it could be some sort of effect from the game but I actually started to get more determined than frustrated. Another quality is the story. Believe it or not, it is actually kinda good. You wouldn't think it would be all that great, being made in reference to the retro days, but it is a lot more involving than most of the classics, not to mention quiet a bit darker. I also found myself caring about the characters. I felt a bit remorseful if something bad happened and very happy when things worked out well for them. Oh yeah, before I forget, One of my new favorite Video game characters is Curly Brace (She's so cute!). The game play is very fun as well. The weapons, the upgrades, and just exploring the world and fighting the enemies are all very satisfying. There are some pretty epic boss fights too. I really like how they used the leveling system with the weapons.You can gain levels by collecting these gold triangles that enemies drop, however if you get hurt not only do you lose health, but weapon experience as well. The game has a good collection of extras as well. You can go through a boss rush mode, where you try to beat all the bosses as fast as possible, a mode where you can try to speed run through the final secret level, and a mode where you can play through the story as Curly Brace (who is still cute btw). I beleive these extra modes are unlocked once you've beat the game (any ending) once but I could be wrong. Curly Brace mode is a bit disappointing, as the only difference between it and the normal story mode is that your character looks different and there's a few changes to the dialog and some extra dialog. I had fun with it anyway, as it's a game that should be revisited a few times if not more. I'd say it will probably take around 5-10 hours your first time through. It may sound expensive at 1200 Wii points ($12) but considering all the content in it it is well worth it. Some may say, ""why buy it if I can lay the freeware version for free"". well the reason is that the graphics, sound, and translation have all been revamped with some nice added on features (And for all you purists out there, You can switch between the new and original art styles and audio). Also the fact that one guy did most of the work and that it's evident that he put a lot of love into making the game helps too. Overall It's a fantastic game that, if you give it the chance, you will most likely fall in love with it. BTW sorry if this is a bit long.",TimH
414,Dark Souls II: Scholar of the First Sin,XboxOne,10,"After playing Dark Souls 3, I look back to DS2 and notice it was the only one that could really take a step further from Demon's Souls formula.All the organic movements; more straightforward less tricky bosses; complex parry-ripost system; more dragon, less dark environment...Being the black sheep isn't all that bad, eh?My favorite soul game, by far.",munir
415,The Walking Dead: Episode 5 - No Time Left,PC,10,"Episode 5, the finale...  without spoiling anything, it's a satisfying conclusion, even if you think you already know what's going to happen. I'll remember this game for a very long time.",MakoSucks
416,Guild Wars,PC,10,"One of the best games I have ever played in my life. The company (ArenaNet) took some chances with this game. They went for a bit of a different skill/attribute set and a lot of other things. They really stepped out of the comfort zone and threw away the traditional MMORPG **** And guess what, it worked well. There were a few dull areas but those were overthrown by the glorious rest of theOne of the best games I have ever played in my life. The company (ArenaNet) took some chances with this game. They went for a bit of a different skill/attribute set and a lot of other things. They really stepped out of the comfort zone and threw away the traditional MMORPG **** And guess what, it worked well. There were a few dull areas but those were overthrown by the glorious rest of the game. The missions were fun and enticing, the gear was visually appealing and could parts mixed and matched. The graphics were very good for a companies very first game. At release this game was magnificent, the cities were overflowing with people and the PvP arenas was a place to be. Now, not so much. The game has aged and the majority of players can be seen on the later expansion packs or winds of change one of the newer updates. So in all honesty, I wouldn't purchase the game based on those facts. Wait for Guild Wars 2, which still has no monthly fee. That game will be well worth the wait.",lobstilops
417,Guitar Hero 5,Wii,10, I just love this game. it's a very addicting step-up for guitar hero World Tour and Number Three. I especially love it on the Wii because of the fact that i won't be kicked off for hours!,ScottW
418,Ace Combat 04: Shattered Skies,PlayStation2,9,"It's been 10 years since I got this game. Yet every year since, I always find time to play this game. Sure, I play games like Battlefield and Call of Duty today, but this game will always be hold a special place in my gaming library. Graphics were stunning in its time, almost on par with MGS2 (released in the same year). And gameplay, it defines fun. Of course, when you play it for tooIt's been 10 years since I got this game. Yet every year since, I always find time to play this game. Sure, I play games like Battlefield and Call of Duty today, but this game will always be hold a special place in my gaming library. Graphics were stunning in its time, almost on par with MGS2 (released in the same year). And gameplay, it defines fun. Of course, when you play it for too long, it gets boring (like any other game). But after a couple days (or maybe hours), when you pop it in again, it feels like a new game. If you still have a PS2, or a PS3 that plays PS2 games, go find this game. You won't regret it. Should it be released on the PS Store, buy it. If they ever release an HD remake, buy it.",DGDrocks7
419,Max Payne,PC,10, I will stand by this forever as the best game I've ever played! An astonishing masterpiece that is frequently ripped off but will never be topped.,MichaelS
420,3D Streets of Rage II,3DS,10,"I have been waiting for this one for quite some time. I knew this whas going to be great, as i played the Megadrive/Genesis version to deaht! So here we go:- Graphics: They lend themselves perfectly to this game. The bright color pallate, the great animation, and not to forget the depth due to the 3D effect being very good. The small screen makes for a razor sharp image.- Sound:I have been waiting for this one for quite some time. I knew this whas going to be great, as i played the Megadrive/Genesis version to deaht! So here we go:- Graphics: They lend themselves perfectly to this game. The bright color pallate, the great animation, and not to forget the depth due to the 3D effect being very good. The small screen makes for a razor sharp image.- Sound: This whas one of the first games that showed me the Megadrive/Genesis could do awesome serious music just as well as it could do happy music for platformers like Sonic. Lots of differend sounds and samples make for a great treat.- Gameplay: At first i had to get used to the smaller D pad, but before you know it youll be playing just as smooth as you did on the Megadrive/Genesis. With all the dificulty settings, everyone can have a good time, from novice to pro players.- Extras: I love the extras, especially the mode where you have to swap fighters, so in the long run, you get to be good with all of them. Still i have my favorite fighter, but i have gotten a lot better with the rest also.Some other good points are you are now able to save everywhere within the game, so you can pick it up as soon as you have the time. Also when i start playing, i can't put the game down quickly, so i end up playing a hour or so! Playing coop with friends is a blast!For such a small price, and such a great perfect port with extra bells and whistles on, you will have the fighting time of your life. Don't pass this by!",musicmaniac1965
421,Out of the Park Baseball 15,PC,10,"If you are looking for a management sim where the sky is the limit, look no further than Out of the Park Baseball 15. Year after year, OOTP Developments puts out a premier product. The scope of this game is amazing. You can manage teams from the Major Leagues through the minor leagues to international ball. I have had a blast playing this game. Highly recommended.",Fletchi18
422,World in Conflict,PC,10,"If you are into strategy games, you have to try this game. Excellent Story, Graphics, Gameplay and Presentation. There is an overall polish to this game compared to the recent strategy games out there. Highly recommended to try it out.",NovusReviews
423,FIFA Soccer 11,PlayStation3,9,"I used to hate soccer, but then I watched the World Cup.  I found myself wanting more after there was no more.  Then I found the English Premier League, but I still wanted more.  So I got this game thinking that I would finally reach my fill of soccer.  I can't stop watching soccer or playing this game.  Hard to find fault with a game that you can't put down.  This is a must have for anyI used to hate soccer, but then I watched the World Cup.  I found myself wanting more after there was no more.  Then I found the English Premier League, but I still wanted more.  So I got this game thinking that I would finally reach my fill of soccer.  I can't stop watching soccer or playing this game.  Hard to find fault with a game that you can't put down.  This is a must have for any soccer junkie!",yellowboy
424,Final Fantasy XIV: Stormblood,PlayStation4,10,"If youre into mmos then this is likely the best game onthe market atm! especially if you got alot of time on youre hands, wont be dissapointed and its really pretty!",nadia4456
425,Stardew Valley,XboxOne,10,"I found this game to be very surprising refreshing. I've never played Harvest Moon, and wasn't too sure to expect going into this game, but I figured for $15 I would give it a go because it looked fun and had some good comments from other players who played it on PC. The first time I played it I actually was only planning to play it for maybe an hour just to try it out, and ended up stuckI found this game to be very surprising refreshing. I've never played Harvest Moon, and wasn't too sure to expect going into this game, but I figured for $15 I would give it a go because it looked fun and had some good comments from other players who played it on PC. The first time I played it I actually was only planning to play it for maybe an hour just to try it out, and ended up stuck in it for 6. I think I spent about 50 hours in about two weeks on this game. It's very addictive, colorful, and I love the characters when you get them to open up and build relationships with them. The game has a few minor stutters and occasionally issues with the cursor feature on the Xbox One, but nothing that ruins the game. The colorful Super Nintendo like graphics, casual game play, rewarding selling system, variety of activities to engage in, and beautiful music (especially the fall music) make this game easy to enjoy and lose a lot of time in. The crops and animals can get a tad repetitive, but there is always something to do or work towards in the game.",dal_4648
426,Castlevania: Dawn of Sorrow,DS,9,"If you love Castlevania, you'll love Dawn of Sorrow. Not a whole lot has changed since the switch to 'Metroidvania' in Symphony of the Night- but how is that a bad thing? Dracula's castle is as exciting as ever, with some impressive DS visuals presenting players with a wide variety of different areas to explore. It's possible to level up and equip a wide array of different weaponry andIf you love Castlevania, you'll love Dawn of Sorrow. Not a whole lot has changed since the switch to 'Metroidvania' in Symphony of the Night- but how is that a bad thing? Dracula's castle is as exciting as ever, with some impressive DS visuals presenting players with a wide variety of different areas to explore. It's possible to level up and equip a wide array of different weaponry and armour, giving players a perfect amount of customisation for their character. The classic Castlevania formula works flawlessly on DS and will be sure to have you coming back for more.",bolt7
